id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
681302575104261574,Quarto privado,169695571,Carlos,Copacabana,-22.97362,-43.19365,Private room,100,1,8,2022-12-12,2.05,3,291,8
14948027,"Apartamento com 2 quartos, 2 banheiros, uma sala",94062471,Faria,Copacabana,-22.97166,-43.19032,Entire home/apt,29000,30,0,,,1,179,0
14899862,Alugar o apartamento,93533886,Edléa,Barra da Tijuca,-22.97489,-43.38444,Entire home/apt,2500,1,0,,,1,89,0
52698676,Copa 🏝 Prox Praia Posto 6,459544,Cristina,Copacabana,-22.98522,-43.18931,Entire home/apt,470,2,1,2022-03-02,0.1,52,272,1
45347298,"Barra Beach flat frente mar, excelente localização",312526846,Rodrigo,Barra da Tijuca,-23.01532,-43.31035,Entire home/apt,929,3,5,2022-01-16,0.18,6,344,2
695103203039729007,Quarto para 2,10118291,Sabrina,Jacarepaguá,-22.96806,-43.38504,Private room,350,1,5,2022-11-13,1.27,2,364,5
689729100669310725,Apartamento Lapa Mem de Sá,115075111,Ellysabeth,Centro,-22.9118353,-43.1865189,Entire home/apt,377,2,0,,,9,359,0
703707188620688450,Apartamento vista  mar na praia da barra,216491558,Cátia,Barra da Tijuca,-23.01488,-43.31054,Entire home/apt,1200,3,0,,,4,357,0
13113570,Private room for ladies.,15019066,Maristela,Barra da Tijuca,-23.01322,-43.31803,Private room,422,2,4,2022-09-11,0.06,3,363,2
594350931008560749,Apenas p/MULHERES-Quarto privado em Botafogo,2919803,Felipe,Botafogo,-22.95717,-43.18913,Private room,297,3,1,2022-09-04,0.26,35,90,1
771060019340448644,Quarto solteiro para temporada,17682943,Jane,Lagoa,-22.97786,-43.19812,Private room,150,6,0,,,1,12,0
722223973209437694,Apartamento em Condomínio Fechado,480350330,Quésia,Barra da Tijuca,-23.00183,-43.35233,Entire home/apt,650,3,2,2022-11-14,0.79,1,360,2
46546548,Designer apartment with great views and sunlight,10550657,Felipe,Humaitá,-22.95365,-43.20011,Entire home/apt,882,3,9,2022-12-03,0.37,2,227,5
789914912355411834,"Suíte 204, Ano Novo R$ 1.800",11037852,Marcelo,Botafogo,-22.94893380173589,-43.18852144495902,Entire home/apt,217,1,0,,,12,5,0
32125765,Melhor ponto da Barra da Tijuca,46579476,Cristina,Barra da Tijuca,-23.00927,-43.33022,Entire home/apt,1400,3,3,2022-09-11,0.08,2,230,1
51558031,Charmoso apartamento na frente da praia,21266556,Fernanda,Barra da Tijuca,-23.01,-43.36772,Entire home/apt,1063,2,2,2022-09-05,0.18,1,269,2
3138241,Conjugado na linda Copacabana,15934298,Eloyana,Copacabana,-22.96359,-43.18099,Entire home/apt,294,3,8,2018-01-03,0.08,1,272,0
784284851945826728,Suíte Zona Sul Próximo do Metrô.,4593594,Maria Angelica,Laranjeiras,-22.93114915240674,-43.18235815268885,Private room,248,2,0,,,3,324,0
14116311,Enjoy olympic games with comfort,25167288,Luciana,Jacarepaguá,-22.96953,-43.38411,Entire home/apt,2639,1,0,,,1,364,0
26097739,EXCELENTE BARATA RIBEIRO,193136508,Pereira,Copacabana,-22.96258,-43.17952,Entire home/apt,200,7,1,2019-01-16,0.02,2,181,0
15837319,Espaço Elegance,102565507,Ana Claudia,Centro,-22.90756,-43.17217,Shared room,290,2,0,,,1,1,0
51751094,Alugo apto bonito BARRA 02 qtos Ar cond. em todo,417726741,Roseli,Barra da Tijuca,-23.003119,-43.3714225,Entire home/apt,1286,1,1,2022-11-13,0.64,1,67,1
47004212,Próximo de praias  fácil  acesso à ptos turisticos,64241254,Lidia,Botafogo,-22.95456,-43.17995,Entire home/apt,343,2,3,2022-09-11,0.14,2,351,2
754884744307455929,Casa triplex com churrasqueira na praia,421766622,Tatiane,Recreio dos Bandeirantes,-23.02172,-43.45488,Entire home/apt,1386,2,0,,,1,365,0
45900883,BARRA DA TIJUCA  Suíte completa c cozinha,532498,Luis,Barra da Tijuca,-23.00675,-43.32097,Entire home/apt,300,3,3,2022-06-25,0.16,44,154,2
4874027,Charming two story penthouse in Rio,25074155,Fernanda,Botafogo,-22.95202,-43.19517,Entire home/apt,246,5,21,2016-08-24,0.22,1,150,0
48977352,Apto de frente na Praia da Barra da Tijuca,395009348,Aline,Barra da Tijuca,-23.00973,-43.36302,Entire home/apt,517,6,12,2022-09-13,0.66,1,119,8
704528504166487847,Kitnet Botafogo RJ,206761076,Fernando,Botafogo,-22.94265,-43.18812,Entire home/apt,221,1,1,2022-11-13,0.64,1,79,1
700877251364178157,Quarto Individual na Lagoa.,426118302,Agda,Lagoa,-22.96231,-43.20189,Private room,150,1,0,,,1,355,0
666559434587853906,Dependência em Ipanema,223899125,Tainá,Ipanema,-22.97996,-43.19866,Private room,90,1,2,2022-09-12,0.38,1,272,2
38163206,Apartamento na Barra da Tijuca - Cidade Jardim,289972203,Rafael,Jacarepaguá,-22.96598,-43.38487,Private room,270,2,1,2020-01-04,0.03,1,181,0
29431449,COPACABANA COBERTURA DE FRENTE PARA PRAIA/5QUARTOS,115138742,Karina,Leme,-22.9653,-43.17211,Entire home/apt,31316,1,1,2021-07-16,0.06,7,23,0
17367352,"Quarto inteiro perto de Copa Cabana! ""Réveillon""23",12459092,Daniel,Botafogo,-22.95464,-43.18388,Private room,405,1,1,2018-01-01,0.02,2,363,0
43639518,Rio Stay - apartamento- Suite-A deluxe,277358509,Flat Residence,Camorim,-22.97609,-43.41379,Private room,911,3,0,,,20,272,0
18159534,"Quarto RIOCENTRO, Eventos na região e Praias",561376,Denise,Camorim,-22.97991,-43.41484,Private room,175,2,35,2022-11-14,0.51,1,83,7
13112684,"Great location in the heart of Gávea, Zona Sul",72905904,Elisa,Gávea,-22.97604,-43.22745,Entire home/apt,2111,5,1,2020-01-24,0.03,1,358,0
703146674310485541,Alugo 2 Quartos em casa de Vila em Botafogo.,470173166,Marco,Botafogo,-22.95556,-43.18238,Private room,203,2,1,2022-09-04,0.26,2,350,1
50737649,"APARTAMENTO FRENTE À PRAIA, MELHOR PONTO DA BARRA!",35820493,Vitor,Barra da Tijuca,-23.01303,-43.31217,Entire home/apt,1634,3,7,2022-09-11,0.6,4,314,7
695110346239252014,"Lapa, Centro RJ
quarto compartilhado",4748345,Suely Piana,Centro,-22.91589681433381,-43.17763477563858,Shared room,195,1,1,2022-09-04,0.26,2,358,1
722458855140787473,"Condomínio tranquilo, seguro, com vasto comércio.",470384902,Monica,Jacarepaguá,-22.97230005596972,-43.413057290017605,Entire home/apt,190,1,0,,,1,362,0
53623449,PF12 - Copacabana 1 Min From Beach,51227019,Pedro,Copacabana,-22.97019,-43.18143,Entire home/apt,743,3,37,2022-12-21,3.06,6,72,37
746977568626354129,Apartamento com vista parcial para a praia.,441529101,Carolina,Barra da Tijuca,-23.01031,-43.36963,Entire home/apt,450,3,0,,,1,350,0
735983924459554384,Windsor Barra Hotel by LookBookHoliday,45788344,LookBook,Barra da Tijuca,-23.011700360819347,-43.32197727050019,Private room,1678,1,0,,,20,365,0
768133701672029634,"Alto padrão, seguro quadra praia",367267842,Roberta,Barra da Tijuca,-23.01174,-43.31023,Entire home/apt,731,1,0,,,1,46,0
9255319,rio seguro e lindo. melhor local,48085046,Joao,Lagoa,-22.96172,-43.20588,Private room,1320,1,0,,,1,365,0
702350585434776769,"Rio Sunset, apartamento no coração do Catete",140474881,Dariene,Catete,-22.9252,-43.18087,Entire home/apt,529,3,11,2022-12-16,2.84,1,63,11
16071117,condo copa 708,4307081,Nereu A,Copacabana,-22.98631,-43.18888,Entire home/apt,792,3,1,2021-12-13,0.08,54,83,0
50027261,Suíte de hóspede linda com piscina,394131156,Luiza,Camorim,-22.97573,-43.41353,Private room,140,2,3,2022-06-12,0.21,1,3,2
1943201,"Copacabana 100m praia, apto lindo!",10051275,Theo,Copacabana,-22.9631,-43.17922,Entire home/apt,509,3,7,2019-10-07,0.07,1,352,0
18406854,Apartamento mobiliado 4 quartos no Leme/Copacabana,127531221,André,Leme,-22.96488,-43.17169,Entire home/apt,1500,10,0,,,1,180,0
2390901,Quarto aconchegante no JB/RJ,12212110,Patricia,Jardim Botânico,-22.95945,-43.20771,Private room,977,1,0,,,1,365,0
11816853,A good option in Lagoa,18731128,Tino,Lagoa,-22.96215,-43.2026,Private room,369,2,0,,,1,88,0
34972236,Barra da Tijuca,155021148,Augusto,Barra da Tijuca,-23.00827,-43.31654,Entire home/apt,2286,2,4,2022-06-23,0.1,1,118,1
2694628,RIO BARRA BEACH RESIDENCE,13791250,Daniel,Barra da Tijuca,-23.01046,-43.36619,Entire home/apt,1229,4,9,2022-09-11,0.12,1,15,6
706630419123922151,Condomínio Alto Padrão Piscina e Praia Privativa,150995157,Marta,Barra da Tijuca,-23.009663865142024,-43.422428257763386,Private room,1200,1,0,,,1,365,0
756551622880688851,Quarto com Wi-Fi,102002198,Daniel,Santa Teresa,-22.91842,-43.18546,Private room,168,1,0,,,2,351,0
